"id"	"sample0001"	"sample0002"	"sample0003"	"sample0004"	"sample0005"	"sample0006"	"sample0007"	"sample0008"	"sample0009"	"sample0010"	"sample0011"	"sample0012"	"sample0013"	"sample0014"	"sample0015"	"sample0016"	"sample0017"	"sample0018"	"sample0019"	"sample0020"	"sample0021"	"sample0022"	"sample0023"	"sample0024"	"sample0025"	"sample0026"	"sample0027"	"sample0028"	"sample0029"	"sample0030"	"sample0031"	"sample0032"	"sample0033"	"sample0034"	"sample0035"	"sample0036"	"sample0037"	"sample0038"	"sample0039"	"sample0040"	"sample0041"	"sample0042"	"sample0043"	"sample0044"	"sample0045"	"sample0046"	"sample0047"	"sample0048"	"sample0049"	"sample0050"
"gene000001"	1.38303169933302	2.83625891991059	2.33193415172139	2.74725714749931	3.51482981704952	3.03207887808902	2.56875149078206	2.79690391748272	3.24134640833502	3.36655601244912	3.1046698892995	3.01153247350137	2.65438105662764	3.3276628664736	2.82174593677051	2.55657281047182	2.47251138215371	2.0898168117109	3.18363992724777	3.53020520011782	2.7149637018185	2.33819733460129	3.19452039926608	2.88609183233567	2.96298664307287	2.93998401585458	2.70123609287121	2.96070104873616	3.08499649093565	2.51132230453758	2.46318743341023	2.41157691182939	2.69507809879401	2.27341213890874	3.50307971924627	3.95862482914451	2.27869652408744	2.37064510114648	2.62818791130794	1.7328831894276	1.85563600228996	2.67530976516237	2.24131922747973	2.42582555953259	2.30411522112117	2.12141000634801	2.77609028228496	3.16443843387334	2.52017411420189	1.27232310920535
"gene000002"	2.11834616747656	2.98780475664788	2.5335214723804	2.92023334090743	2.95532175895898	2.65403270385898	2.04288790094501	1.87591486298591	2.15793649993718	2.3185410526885	2.97936426830045	2.98988468801233	1.64108656314859	2.34688062970101	1.30034757089362	1.38234471794151	2.31831571555086	2.45553586670732	2.24580399983464	2.5935771419202	2.4163545537361	2.04465698420198	2.32721743457242	1.25390980180988	2.43807651252832	2.64187607191597	1.31298810774526	2.15901852945005	2.86198537045677	2.77565477361122	3.85938276199828	3.6730362501012	3.64709620827549	3.18911164468281	2.92040654078694	3.73131680212079	2.23890143862156	2.66514937742408	3.14250644666065	1.98664722540723	2.39447824100742	2.47706394816518	2.68273786957691	2.74359086507728	3.21005063258415	2.26911608735895	3.09337119995691	2.23973635031356	1.51269900746651	3.15109134612848
"gene000003"	1.85293734177115	2.38421174519486	2.55907548967859	2.88131912245089	2.38091418968606	2.4929013076488	2.19466614350285	1.88498576158881	1.88438387192305	2.25986764458982	1.43712824261878	1.82777511081215	1.41849309381851	1.40793000030693	2.54014229095106	2.13122893711187	1.95153444132844	1.79976751621431	2.46668298006568	1.6474753532408	1.60960387732529	1.09618887634761	2.1559062269216	2.09652194585103	1.92546864586131	1.79205315795927	1.48714797508434	1.88967503821945	2.98035228419119	3.45850521770593	1.8358571234069	2.4117063011892	2.55947727125433	1.70374750464793	2.84257465586677	2.45239714273016	1.66576283503886	2.09823857650097	1.73804939707049	1.42674550820143	1.46841975307139	2.73514005744314	2.19067503009211	1.88040311958801	2.62502345352954	1.89190994738854	2.4571821700827	2.23601857290433	2.49515959975364	2.26647763873675
"gene000004"	2.562228963654	3.95142739843048	3.93509410504219	4.50500905399203	4.67065380182535	4.21208900668864	3.5905993929349	3.50633513813038	3.24158966358811	3.09252741778818	3.97458304559277	4.04917059897673	1.7896563572197	3.05303431204428	3.32760363974413	3.10481051912868	2.04430925362221	2.26726759161857	3.15949816072719	3.71803252181599	3.06922626936904	3.75757605186913	3.01053433151195	3.28264079683675	3.48361383295236	3.94804852296654	3.74906422850676	4.60286977861664	4.00535284043639	3.41259384817275	3.85603967005215	3.3451884410214	3.26490597034423	2.92061312848795	3.49729643995015	3.01713795137709	3.25451240558426	3.69343016007079	3.87782741711013	2.01229633592489	2.66871562601877	3.64924601151351	4.14191764769655	3.24459007063402	4.34323606332828	3.33099069581273	3.16661132901476	3.11312569407069	2.96535286310445	3.04699508678057
"gene000005"	1.93932581906615	2.39785815422247	2.16299040097966	2.64702361924359	2.49129970291566	2.2845123609949	1.43623329982055	1.14000848473355	2.05670819983402	2.11834331665822	2.21558446633103	2.30799392298153	2.75194641286092	2.91673682113395	2.58716820140627	2.10010766844026	1.32955508967097	1.25892143044393	2.21536224885572	1.8194021059659	3.03136525717923	2.00514024233056	3.01762896284682	2.60389576779102	1.62131607957183	1.90774741524876	1.83729647300669	2.49607254320227	2.39899252868471	3.54446508018309	2.03080836688437	1.40228263334468	2.03701254835023	1.00340505600889	2.40568841169481	1.35935680617292	2.31485061743948	2.13655075469945	2.1223413442095	1.57812271499051	2.57665233339544	2.2395977582329	2.08680716684872	2.72569649197667	2.3556358473211	2.03085122096848	1.24365371184838	0.716270854254836	1.5077342229543	2.60469779360283
"gene000006"	3.15472034223942	4.58490709089177	2.33342913797699	3.10783740671421	2.61235751998794	1.85682308796037	4.22721495100375	4.13247735288735	2.61042069460335	2.96773990302294	4.46559837175598	4.50569785983447	3.13660974061291	3.63818691344297	2.52819136776694	2.19988976599742	2.87038224240659	2.79436527687765	1.90484857785382	2.14144808047082	2.35410872363592	2.48684888343659	1.72588733281553	2.38900185453552	3.21295339887888	2.05874138238676	2.67676359322382	2.48461800265458	4.49073517997447	3.59374596344295	3.28720244879104	3.94129850939846	3.19996923807922	1.59361685504604	3.49807263994839	2.53110824457011	3.17872067479578	3.18001367530962	3.74191556415974	2.19276798501307	1.88682558250906	3.07310695263991	2.23037040837171	3.70578365958842	2.33400675409189	3.47274382218415	2.74976539287389	2.2945891316495	2.78043372649391	3.11081759874066
"gene000007"	1.98206056327489	2.55994906159423	2.61649399600815	2.91629379578059	3.59844079390378	3.161788628231	2.55554555881908	2.42648272048691	2.25309386232997	2.15889712385632	2.89582898174679	2.69585052646462	0.662945321137936	1.20879729832138	2.17489079105429	2.26279909974748	2.91252823514393	3.03859326141097	1.32064811474885	1.6489214962874	2.27489234977004	1.62529912456491	1.01278890674549	2.08541971873047	3.29648366682517	3.28335751807408	2.05113605521972	1.56816103490886	3.74829730360167	3.42540404843055	3.47614727109932	2.43724930162407	2.68607778938638	3.12422271095454	2.43667566609272	2.2287442967779	2.22239619785653	2.3771770551568	1.15265203583271	1.85431085941407	1.22103920550295	2.3835318649036	3.50986358535115	3.31645455323896	1.54369170501166	1.2103968274963	3.1110962270916	1.88758747018975	1.42545749138024	2.82796851646466
"gene000008"	2.91608234773424	4.03907851256888	3.71492026559995	4.18575563555141	3.20999535842098	2.95917327183939	2.82607684562603	3.08471060911551	3.72451351135296	4.12778202595265	3.4178659295857	3.45392217218455	1.44366471537657	2.17468310933595	4.05670937482609	3.93978573987277	2.35609450883104	2.32767465015669	3.5339556292893	3.86094615125292	3.63139012319173	3.9704113610963	2.89450380378922	3.17231919658566	3.28681767616731	2.37414166940204	1.70766502907807	2.43941414617145	3.57522222615728	3.97053199214451	3.50939132443369	3.31558279970365	1.66838375412683	2.60157975839436	2.41467576006666	2.52382875758132	2.87964840451338	2.5469770882487	3.20037253749023	1.82345510844284	1.89186204574046	3.07558475286691	3.62494056253992	2.3398089536203	4.30659221709876	2.31976566992721	2.05115540171498	3.28413844181759	2.94919107342245	2.49268154433779
"gene000009"	2.40353752585713	3.50313850407655	4.33752586431885	4.74243012896026	3.06641370006677	2.81293100461638	4.39204287307993	4.63673209659353	3.82931763357777	3.70611127636854	4.03417979278697	3.98101536269575	1.56500357468893	2.98197324949831	2.76845235501666	2.82309737110007	3.2085539923657	3.54141024134466	2.83274268385668	3.53222011350933	2.63500029344611	3.28304617218863	3.49894404409813	2.79638030444728	3.04996153310936	3.56293632952523	2.84957963295772	4.91499470513583	4.68985562875544	3.47648134809927	4.48799807146198	4.50649297516697	2.50640076134721	3.05323166165692	3.47839361368992	2.63954352396678	2.20134511299387	3.43772110916778	2.55587389296249	2.38394879305384	2.77378978503434	2.57796179128673	3.6988384992461	2.63545067472475	4.88843609485256	2.6424435841532	3.34346270730488	3.08812342113296	2.19586770288236	2.17146571194335
"gene000010"	1.55110456902308	3.5993654987574	3.14891059069543	3.49043484338317	2.9025017606753	2.50466425447932	2.81181960219225	2.85155320195418	2.16296753126497	2.18533173184689	3.12443493897072	3.04535817477462	1.25608906675344	2.10768895624646	2.37509327644529	2.08111400872774	1.94134904340419	1.79519295693914	2.53058327839969	2.94625570656005	2.89714881428229	3.01925081338838	1.97133051488006	1.87300698546304	2.69204500913096	3.00216547655759	2.68004170143351	3.68537923078093	3.36020154580623	3.17081338245333	2.94369698316447	2.48104181522082	2.63427027233737	1.88148010230768	3.08184428132758	3.15386233925696	2.72497153793714	2.77645250859108	2.14751062285093	1.68468844049344	1.69127854396696	2.65544347413817	3.2193220369887	2.27662278630329	2.45893006893011	1.81694634466482	2.45520580455961	2.01861559550929	1.88436799329645	1.71006579431265
